FeatureID,FeatureName,Cluster 6 Average,Log2 Fold Change,P-Value
ENSG00000143995,MEIS1,0.25803803529894637,2.157937763509798,3.423476828631082e-05
ENSG00000138685,FGF2,0.038465297187420575,3.162383669,3.640235644656718e-05
ENSG00000080854,IGSF9B,0.027246252174422905,3.4351660509263446,3.640235644656718e-05
ENSG00000178404,CEP295NL,0.094560522,2.400138665926426,3.640235644656718e-05
ENSG00000183798,EMILIN3,0.019232648593710287,4.2633613162658115,3.6918811951668926e-05
ENSG00000134853,PDGFRA,0.15065574731739725,2.2480978899373065,3.780963155375987e-05
ENSG00000169894,MUC3A,0.028848973,4.147884098845875,3.780963155375987e-05
ENSG00000067113,PLPP1,0.078533315,2.4254180743747837,3.879718176445602e-05
ENSG00000118495,PLAGL1,0.092957802,2.3687490504357296,3.927843849202011e-05
ENSG00000183770,FOXL2,0.038465297187420575,3.036852786457131,4.010664177750493e-05
ENSG00000056736,IL17RB,0.073725153,2.5527258310188303,4.0773962920078056e-05
ENSG00000103175,WFDC1,0.041670739,3.0201285516475025,4.0773962920078056e-05
ENSG00000011465,DCN,0.2548325938666613,2.118873012186806,4.1338165122319656e-05
ENSG00000241404,EGFL8,0.062506108,2.5040279090711506,4.475963684278591e-05
ENSG00000130844,ZNF331,0.1746965580595351,2.2357568548712097,4.5120802424421744e-05
ENSG00000163618,CADPS,0.038465297187420575,3.3654755339185023,4.5174587344428076e-05
ENSG00000114790,ARHGEF26,0.070519712,2.536449386763528,4.709108909663681e-05
ENSG00000092096,SLC22A17,0.052889784,2.598722319552566,4.715447315062988e-05
ENSG00000196268,ZNF493,0.100971405,2.2867971928504804,5.252562941310843e-05
ENSG00000088882,CPXM1,0.057697946,2.537158502059637,5.424060473593722e-05
ENSG00000146555,SDK1,0.12661493657525938,2.257923899187234,5.5213964572188074e-05
ENSG00000164066,INTU,0.038465297187420575,2.997324422270494,5.624640942934474e-05
ENSG00000102878,HSF4,0.070519712,2.4648115126748706,5.6279877123432494e-05
ENSG00000183287,CCBE1,0.024040810742137857,3.825956003958513,5.777274872553379e-05
ENSG00000153291,SLC25A27,0.035259856,2.9710063367617954,5.910164098798496e-05
ENSG00000122367,LDB3,0.019232648593710287,4.7608609757366285,5.910164098798496e-05
ENSG00000269190,FBXO17,0.056095225,2.549624776,6.24835946750732e-05
ENSG00000104728,ARHGEF10,0.078533315,2.336413068316039,6.347650690616327e-05
ENSG00000079308,TNS1,0.099368684,2.301796782299556,6.48508023536816e-05
ENSG00000164946,FREM1,0.025643531458280383,3.377365944968642,7.423848799930167e-05
ENSG00000108405,P2RX1,0.051287062916560766,2.7576499905676037,7.446608989024661e-05
ENSG00000127954,STEAP4,0.030451693606707953,3.539074856170351,7.520129473841788e-05
ENSG00000244486,SCARF2,0.1073822879815491,2.252353365401904,7.520129473841788e-05
